id,run,version,trial,condition,Stress_duration,total_con_stress_dur,total_noc_stress_dur,rt,Target,First_correct,Feedback,Button_pressed,initial_aversiveness
1,4,6,7,noc,4.6014743787,74.41,74.76,601.3818714,2,TRUE,Positive,[2],0
1,4,6,8,noc,7.7672736789,74.41,74.76,767.2053366,3,FALSE,Negative,[1],0
1,4,6,9,noc,7.7166268257,74.41,74.76,716.5890676,2,FALSE,Negative,[2],0
1,4,6,10,con,6.2499632803,74.41,74.76,749.9232567,3,TRUE,Positive,[3],0
1,4,6,11,con,6.2841396644,74.41,74.76,784.0633933,3,TRUE,Positive,[3],0
1,4,6,12,noc,4.8022373198,74.41,74.76,802.1368831,1,TRUE,Positive,[1],0
1,4,6,13,con,6.1841648491,74.41,74.76,684.0912206,2,TRUE,Positive,[2],0
1,4,6,14,noc,4.7340801386,74.41,74.76,733.9982037,2,TRUE,Positive,[2],0
1,4,6,15,con,6.2334799734,74.41,74.76,733.4467461,2,TRUE,Positive,[2],0
1,4,6,16,bas,4.81793488,74.41,74.76,817.849169,3,TRUE,Positive,[3],0
1,4,6,17,noc,4.7009228459,74.41,74.76,700.8484625,1,TRUE,Positive,[1],0
1,4,6,18,noc,7.7839963725,74.41,74.76,783.9238769,2,FALSE,Negative,[2],0
1,4,6,19,bas,4.7850815402,74.41,74.76,784.9822366,3,TRUE,Positive,[3],0
1,4,6,20,bas,4.7515806495,74.41,74.76,751.4673751,2,TRUE,Positive,[2],0
1,4,6,21,con,6.1790399393,74.41,74.76,678.9938742,1,TRUE,Positive,[1],0
1,4,6,22,bas,4.8186103725,74.41,74.76,818.4944554,1,TRUE,Positive,[1],0
1,4,6,23,noc,4.6676813532,74.41,74.76,667.6107454,1,TRUE,Positive,[1],0
1,4,6,24,noc,4.7006102093,74.41,74.76,700.5433771,1,TRUE,Positive,[1],0
1,4,6,25,noc,7.8346266123,74.41,74.76,834.5560045,3,FALSE,Negative,[3],0
1,4,6,26,bas,4.6682382855,74.41,74.76,668.125011,2,TRUE,Positive,[2],0
1,4,6,27,con,6.1673368104,74.41,74.76,667.2522323,1,TRUE,Positive,[1],0
1,4,6,28,con,6.2013598965,74.41,74.76,701.2806046,2,TRUE,Positive,[2],0
1,4,6,29,con,6.4845046345,74.41,74.76,734.4208113,3,TRUE,Positive,[3],0
1,4,6,30,con,7.4509527697,74.41,74.76,700.8674364,3,TRUE,Positive,[3],0
2,1,5,1,con,6.4841281858,76.02,76.29,984.0281268,3,TRUE,Positive,[3],65
2,1,5,2,bas,4.8999609959,76.02,76.29,899.9285237,2,TRUE,Positive,[2],65
2,1,5,3,con,5.2496880235,76.02,76.29,749.650643,3,TRUE,Positive,[3],65
2,1,5,4,con,5.8630267589,76.02,76.29,863.004104,2,TRUE,Positive,[2],65
2,1,5,5,noc,4.7502024779,76.02,76.29,750.1662301,1,TRUE,Positive,[1],65
2,1,5,6,noc,5.0009311151,76.02,76.29,NA,3,TRUE,Positive,[],65
2,1,5,7,con,6.4188564804,76.02,76.29,918.7428285,2,TRUE,Positive,[2],65
2,1,5,8,con,6.4018959107,76.02,76.29,901.7864121,1,TRUE,Positive,[1],65
2,1,5,9,con,6.3299379973,76.02,76.29,829.91572,2,TRUE,Positive,[2],65
2,1,5,10,noc,7.966451911,76.02,76.29,966.4201941,3,FALSE,Negative,[3],65
